time_id,hour,minute,time_am_or_pm
545,10,4,AM
546,10,5,AM
547,10,6,AM
548,10,7,AM
549,10,8,AM
550,10,9,AM
551,10,10,AM
552,10,11,AM
553,10,12,AM
554,10,13,AM
555,10,14,AM
556,10,15,AM
557,10,16,AM
558,10,17,AM
559,10,18,AM
560,10,19,AM
561,10,20,AM
562,10,21,AM
563,10,22,AM
564,10,23,AM
565,10,24,AM
566,10,25,AM
567,10,26,AM
568,10,27,AM
569,10,28,AM
570,10,29,AM
571,10,30,AM
572,10,31,AM
573,10,32,AM
574,10,33,AM
575,10,34,AM
576,10,35,AM
577,10,36,AM
578,10,37,AM
579,10,38,AM
580,10,39,AM
581,10,40,AM
582,10,41,AM
583,10,42,AM
584,10,43,AM
585,10,44,AM
586,10,45,AM
587,10,46,AM
588,10,47,AM
589,10,48,AM
590,10,49,AM
591,10,50,AM
592,10,51,AM
593,10,52,AM
594,10,53,AM
595,10,54,AM
596,10,55,AM
597,10,56,AM
598,10,57,AM
599,10,58,AM
600,10,59,AM
601,11,0,AM
602,11,1,AM
603,11,2,AM
604,11,3,AM
605,11,4,AM
606,11,5,AM
607,11,6,AM
608,11,7,AM
609,11,8,AM
610,11,9,AM
611,11,10,AM
612,11,11,AM
613,11,12,AM
614,11,13,AM
615,11,14,AM
616,11,15,AM
617,11,16,AM
618,11,17,AM
619,11,18,AM
620,11,19,AM
621,11,20,AM
622,11,21,AM
623,11,22,AM
624,11,23,AM
625,11,24,AM
626,11,25,AM
627,11,26,AM
628,11,27,AM
629,11,28,AM
630,11,29,AM
631,11,30,AM
632,11,31,AM
633,11,32,AM
634,11,33,AM
635,11,34,AM
636,11,35,AM
637,11,36,AM
638,11,37,AM
639,11,38,AM
640,11,39,AM
641,11,40,AM
642,11,41,AM
643,11,42,AM
644,11,43,AM
645,11,44,AM
646,11,45,AM
647,11,46,AM
648,11,47,AM
649,11,48,AM
650,11,49,AM
651,11,50,AM
652,11,51,AM
653,11,52,AM
654,11,53,AM
655,11,54,AM
656,11,55,AM
657,11,56,AM
658,11,57,AM
659,11,58,AM
660,11,59,AM
661,12,0,PM
662,12,1,PM
663,12,2,PM
664,12,3,PM
665,12,4,PM
666,12,5,PM
667,12,6,PM
668,12,7,PM
669,12,8,PM
670,12,9,PM
671,12,10,PM
672,12,11,PM
673,12,12,PM
674,12,13,PM
675,12,14,PM
676,12,15,PM
677,12,16,PM
678,12,17,PM
679,12,18,PM
680,12,19,PM
681,12,20,PM
682,12,21,PM
683,12,22,PM
684,12,23,PM
685,12,24,PM
686,12,25,PM
687,12,26,PM
688,12,27,PM
689,12,28,PM
690,12,29,PM
691,12,30,PM
692,12,31,PM
693,12,32,PM
694,12,33,PM
695,12,34,PM
696,12,35,PM
697,12,36,PM
698,12,37,PM
699,12,38,PM
700,12,39,PM
701,12,40,PM
702,12,41,PM
703,12,42,PM
704,12,43,PM
705,12,44,PM
706,12,45,PM
707,12,46,PM
708,12,47,PM
709,12,48,PM
710,12,49,PM
711,12,50,PM
712,12,51,PM
713,12,52,PM
714,12,53,PM
715,12,54,PM
716,12,55,PM
717,12,56,PM
718,12,57,PM
719,12,58,PM
720,12,59,PM
721,1,0,PM
722,1,1,PM
723,1,2,PM
724,1,3,PM
