time_id,hour,minute,time_am_or_pm
08050,8,50,AM
08051,8,51,AM
08052,8,52,AM
08053,8,53,AM
08054,8,54,AM
08055,8,55,AM
08056,8,56,AM
08057,8,57,AM
08058,8,58,AM
08059,8,59,AM
0900,9,0,AM
0901,9,1,AM
0902,9,2,AM
0903,9,3,AM
0904,9,4,AM
0905,9,5,AM
0906,9,6,AM
0907,9,7,AM
0908,9,8,AM
0909,9,9,AM
09010,9,10,AM
09011,9,11,AM
09012,9,12,AM
09013,9,13,AM
09014,9,14,AM
09015,9,15,AM
09016,9,16,AM
09017,9,17,AM
09018,9,18,AM
09019,9,19,AM
09020,9,20,AM
09021,9,21,AM
09022,9,22,AM
09023,9,23,AM
09024,9,24,AM
09025,9,25,AM
09026,9,26,AM
09027,9,27,AM
09028,9,28,AM
09029,9,29,AM
09030,9,30,AM
09031,9,31,AM
09032,9,32,AM
09033,9,33,AM
09034,9,34,AM
09035,9,35,AM
09036,9,36,AM
09037,9,37,AM
09038,9,38,AM
09039,9,39,AM
09040,9,40,AM
09041,9,41,AM
09042,9,42,AM
09043,9,43,AM
09044,9,44,AM
09045,9,45,AM
09046,9,46,AM
09047,9,47,AM
09048,9,48,AM
09049,9,49,AM
09050,9,50,AM
09051,9,51,AM
09052,9,52,AM
09053,9,53,AM
09054,9,54,AM
09055,9,55,AM
09056,9,56,AM
09057,9,57,AM
09058,9,58,AM
09059,9,59,AM
01000,10,0,AM
01001,10,1,AM
01002,10,2,AM
01003,10,3,AM
01004,10,4,AM
01005,10,5,AM
01006,10,6,AM
01007,10,7,AM
01008,10,8,AM
01009,10,9,AM
010010,10,10,AM
010011,10,11,AM
010012,10,12,AM
010013,10,13,AM
010014,10,14,AM
010015,10,15,AM
010016,10,16,AM
010017,10,17,AM
010018,10,18,AM
010019,10,19,AM
010020,10,20,AM
010021,10,21,AM
010022,10,22,AM
010023,10,23,AM
010024,10,24,AM
010025,10,25,AM
010026,10,26,AM
010027,10,27,AM
010028,10,28,AM
010029,10,29,AM
010030,10,30,AM
010031,10,31,AM
010032,10,32,AM
010033,10,33,AM
010034,10,34,AM
010035,10,35,AM
010036,10,36,AM
010037,10,37,AM
010038,10,38,AM
010039,10,39,AM
010040,10,40,AM
010041,10,41,AM
010042,10,42,AM
010043,10,43,AM
010044,10,44,AM
010045,10,45,AM
010046,10,46,AM
010047,10,47,AM
010048,10,48,AM
010049,10,49,AM
010050,10,50,AM
010051,10,51,AM
010052,10,52,AM
010053,10,53,AM
010054,10,54,AM
010055,10,55,AM
010056,10,56,AM
010057,10,57,AM
010058,10,58,AM
010059,10,59,AM
01100,11,0,AM
01101,11,1,AM
01102,11,2,AM
01103,11,3,AM
01104,11,4,AM
01105,11,5,AM
01106,11,6,AM
01107,11,7,AM
01108,11,8,AM
01109,11,9,AM
011010,11,10,AM
011011,11,11,AM
011012,11,12,AM
011013,11,13,AM
011014,11,14,AM
011015,11,15,AM
011016,11,16,AM
011017,11,17,AM
011018,11,18,AM
